,AtomicNumber,Element,Symbol,AtomicMass
0,1,Hydrogen,H,1.00794075382579
1,2,Helium,He,4.002601931990927
2,3,Lithium,Li,6.94003717138
3,4,Beryllium,Be,9.0121822
4,5,Boron,B,10.8110281884
5,6,Carbon,C,12.010735896787999
6,7,Nitrogen,N,14.006703217254401
7,8,Oxygen,O,15.9994049262634
8,9,Fluorine,F,18.9984032
9,10,Neon,Ne,20.180046383574997
10,11,Sodium,Na,22.98976966
11,12,Magnesium,Mg,24.305051762413004
12,13,Aluminum,Al,26.98153863
13,14,Silicon,Si,28.0854986665963
14,15,Phosphorus,P,30.97376149
15,16,Sulfur,S,32.064786975539995
16,17,Chlorine,Cl,35.452937603336004
17,18,Argon,Ar,39.94767671084131
18,19,Potassium,K,39.098301343786225
19,20,Calcium,Ca,40.078022850936996
20,21,Scandium,Sc,44.9559119
21,22,Titanium,Ti,47.866749245159994
22,23,Vanadium,V,50.94146749750001
23,24,Chromium,Cr,51.996133070619
24,25,Manganese,Mn,54.9380451
25,26,Iron,Fe,55.845149918245994
26,27,Cobalt,Co,58.933195
27,28,Nickel,Ni,58.693351562447994
28,29,Copper,Cu,63.546039732
29,30,Zinc,Zn,65.40872808798301
30,31,Gallium,Ga,69.723065622084
31,32,Germanium,Ge,72.63984324348002
32,33,Arsenic,As,74.9215965
33,34,Selenium,Se,78.9593882401
34,35,Bromine,Br,79.90352857361
35,36,Krypton,Kr,83.7980064348547
36,37,Rubidium,Rb,85.46766359685701
37,38,Strontium,Sr,87.61664410489999
38,39,Yttrium,Y,88.9058483
39,40,Zirconium,Zr,91.22364760672
40,41,Niobium,Nb,92.9063781
41,42,Molybdenum,Mo,95.93759131727
42,44,Ruthenium,Ru,101.06494544279
43,45,Rhodium,Rh,102.905504
44,46,Palladium,Pd,106.4153287813
45,47,Silver,Ag,107.86815084455
46,48,Cadmium,Cd,112.41155220051999
47,49,Indium,In,114.818085722
48,50,Tin,Sn,118.71010831537
49,51,Antimony,Sb,121.75978613257
50,52,Tellurium,Te,127.60312784714003
51,53,Iodine,I,126.904473
52,54,Xenon,Xe,131.29276059636712
53,55,Cesium,Cs,132.9054519
54,56,Barium,Ba,137.32689183471098
55,57,Lanthanum,La,138.90545398283
56,58,Cerium,Ce,140.11572621392
57,59,Praseodymium,Pr,140.9076528
58,60,Neodymium,Nd,144.23613137220002
59,62,Samarium,Sm,150.36634852618
60,63,Europium,Eu,151.96437047419
61,64,Gadolinium,Gd,157.25212221543998
62,65,Terbium,Tb,158.9253468
63,66,Dysprosium,Dy,162.49946569716298
64,67,Holmium,Ho,164.9303221
65,68,Erbium,Er,167.25907625325704
66,69,Thulium,Tm,168.9342133
67,70,Ytterbium,Yb,173.03769558789998
68,71,Lutetium,Lu,174.96672138555
69,72,Hafnium,Hf,178.48497214162
70,73,Tantalum,Ta,180.94787573628
71,74,Wolfram,W,183.84177810241
72,75,Rhenium,Re,186.2067066106
73,76,Osmium,Os,190.22486304558998
74,77,Iridium,Ir,192.2160564148
75,78,Platinum,Pt,195.077807880313
76,79,Gold,Au,196.9665687
77,80,Mercury,Hg,200.5991666178
78,81,Thallium,Tl,204.38341250983999
79,82,Lead,Pb,207.216907663
80,83,Bismuth,Bi,208.9803987
81,90,Thorium,Th,232.0380553
82,91,Protactinium,Pa,231.035884
83,92,Uranium,U,238.02891026165742
